Neighborhood,Total Families,"$24,999 and under","$24,999 and under %","$25,000 to $49,999","$25,000 to $49,999 %","$50,000 to $99,999","$50,000 to $99,999 %","$100,000+","$100,000+ %"
Boston,129542,22673,0.175,21245,0.164,29802,0.23,55822,0.4309
A1,7294,720,0.09871127,636,0.087194955,1127,0.154510557,4811,0.659583219
A7,9667,1647,0.17,2675,0.277,2505,0.259,2840,0.2938
A15,4578,648,0.142,365,0.08,385,0.084,3180,0.6946
B2,13092,4253,0.324854873,3251,0.248319584,2922,0.223189734,2666,0.203635808
B3,6295,1272,0.202,1341,0.213,1863,0.296,1819,0.289
C6,7215,1396,0.193485793,785,0.108801109,921,0.127650728,4113,0.57006237
C11,26713,6018,0.225,5446,0.204,7401,0.277,7848,0.2938
D4,12151,1798,0.14797136,1481,0.121882973,1644,0.135297506,7228,0.594848161
D14,9448,1327,0.140453006,1213,0.12838696,2722,0.288103302,4186,0.443056732
E5,15635,1296,0.08289095,1942,0.124208507,3868,0.247393668,8529,0.545506876
E13,8083,925,0.114,822,0.102,1512,0.187,4824,0.5968
E18,9359,1373,0.147,1288,0.138,2920,0.312,3778,0.4037
